345,1.085,-29.269,7,2
346,1.088,-53.909,10,5
347,1.089,54.274,8,1
348,1.090,12.957,9,4
349,1.095,-29.382,8,1
350,1.099,-57.323,11,5
351,1.104,-47.068,11,4
352,1.112,58.069,11,4
353,1.112,-44.567,12,5
354,1.123,51.829,10,5
355,1.126,-10.509,6,6
356,1.126,-6.965,9,4
357,1.127,-72.897,8,3
358,1.139,-76.347,10,5
359,1.146,-76.874,10,4
360,1.146,71.968,10,5
361,1.148,-71.695,9,5
362,1.151,-19.438,10,5
363,1.152,43.551,9,7
364,1.152,-15.889,10,5
365,1.152,42.093,7,2
366,1.152,-31.169,10,5
367,1.156,-81.345,10,2
368,1.156,2.937,9,5
369,1.159,29.722,10,5
370,1.159,-51.583,8,5
371,1.160,-50.036,12,5
372,1.166,-70.404,8,5
373,1.166,-8.185,9,6
374,1.167,34.265,8,5
375,1.168,34.271,10,2
376,1.171,6.522,9,4
377,1.172,-71.437,6,1
378,1.172,14.965,8,3
379,1.175,67.167,6,5
380,1.178,17.070,9,4
381,1.185,51.534,9,1
382,1.188,-32.361,10,3
383,1.189,0.056,10,3
384,1.193,1.537,9,3
385,1.195,38.174,10,4
386,1.204,68.189,10,4
387,1.208,38.786,9,3
388,1.210,6.417,10,3
389,1.212,-29.633,9,2
390,1.212,50.235,12,2
391,1.212,43.971,9,3
392,1.217,30.086,9,3
393,1.218,51.983,10,5
394,1.224,34.660,7,4
395,1.222,-30.257,9,2
396,1.225,-31.997,9,5
397,1.225,52.249,9,2
398,1.229,58.532,7,2
399,1.233,26.649,7,5
400,1.235,23.270,9,4
401,1.234,56.057,9,6
402,1.235,64.781,9,3
403,1.237,-18.179,10,4
404,1.240,45.674,8,3
405,1.240,51.181,9,5
406,1.244,26.725,9,6
407,1.245,-70.212,9,4
408,1.245,57.469,9,5
409,1.246,-70.493,9,3
410,1.255,27.675,7,5
411,1.257,33.360,11,6
412,1.258,66.517,9,5
413,1.261,-36.015,8,3
414,1.262,-59.828,9,4
415,1.264,9.280,10,3
416,1.265,1.038,10,4
417,1.266,-0.503,7,5
418,1.276,61.314,6,1
419,1.278,-42.568,10,4
420,1.281,-52.152,8,3
422,1.287,67.840,8,5
423,1.288,30.329,8,3
424,1.291,45.229,7,2
425,1.291,-62.845,9,3
426,1.292,30.331,10,3
427,1.292,-43.851,9,5
428,1.295,45.787,11,5
429,1.292,2.397,9,4
430,1.293,-32.469,8,5
431,1.302,36.304,9,3
432,1.304,35.571,8,2
433,1.312,3.007,10,5
434,1.314,-27.272,10,4
435,1.314,-49.142,10,3
436,1.324,-67.832,9,5
437,1.325,48.477,9,5
438,1.327,-1.794,9,5
439,1.352,-37.357,9,5
440,1.333,68.884,8,1
441,1.333,-38.857,8,5
